card,date,amount,description
3572911731557252,03/30/2016,68.59,$amazon. com
30231431875033,03/23/2016,138.92,atm cash withdrawal
6393922837601621,03/30/2016,93.53,Car Washes---
30231431875033,03/28/2016,135.06,ophthalmologist.
6393922837601621,03/24/2016,92.63,atm cash withdrawal
3572911731557252,03/29/2016,69.82,tax $payment
30231431875033,03/27/2016,96.28,bcom $transfer
3572911731557252,03/18/2016,104.36,dental laboratories
6393922837601621,03/04/2016,148.63,CAR rental
3572911731557252,03/15/2016,70.51,atm CASH withdrawal
30231431875033,03/11/2016,130.84,itunes ---bill
6393922837601621,03/21/2016,127.99,book store&&
3572911731557252,03/06/2016,130.20,Hobby and toys Game Shop
30231431875033,03/06/2016,84.12,uber**
30231431875033,03/11/2016,50.87,waffle house__
3572911731557252,03/01/2016,147.44,paints- varnishes- and supplies
6393922837601621,03/10/2016,122.41,bakery
3572911731557252,03/03/2016,65.24,bcom* transfer
30231431875033,03/14/2016,68.87,h and- m
6393922837601621,03/24/2016,61.00,atm cash withdrawal
